name,lat,lng,type,city,country,continent
abu simbel,22.3371195,31.6257973,archaeological_site,Abu Simbel City,Egypt,Africa
acropolis museum,37.9685331,23.7284706,museum,Athens,Greece,Europe
acropolis of athens,37.9716894,23.7263197,attraction,Athens,Greece,Europe
adrspach,50.6189263,16.108519,village,Adršpach,Czechia,Europe
aegean coast region turkey,39.0,35.0,country,,Turkey,Asia
africa,11.5024338,17.7578122,continent,,,Africa
agadir crocoparc,30.3893785,-9.4840294,zoo,Drarga,Morocco,Africa
agafay desert,31.4872129,-8.1970725,village,Agafay,Morocco,Africa
agia anna,34.9400531,33.4897191,city,Agia Anna,Cyprus,Asia
airlie beach,-20.272494,148.7181466,neighbourhood,Whitsunday Regional,Australia,Oceania
ait benhaddou,31.0451536,-7.1309706,city,Aït Benhaddou,Morocco,Africa
ajaccio,41.9263991,8.7376029,city,Ajaccio,France,Europe
ajman,25.5091287,55.3619072,state,,United Arab Emirates,Asia
akumal,20.398797,-87.3173404,village,Akumal,Mexico,North America
al khatim desert,,,,,,
al marmoom conservation reserve dubai,24.7429971,55.4045796,nature_reserve,Ghadeer Barashy,United Arab Emirates,Asia
alcatraz,15.2174703,-23.1032877,village,Alcatraz,Cape Verde,Africa
alcazar of seville,37.3832105,-5.9901835,attraction,Seville,Spain,Europe
algarve,-30.0344297,-51.0790679,neighbourhood,Alvorada,Brazil,South America
alhambra,37.1760599,-3.5881103,castle,Granada,Spain,Europe
alicante,38.3436365,-0.4881708,city,Alicante,Spain,Europe
allianz arena,48.2187901,11.6236227,building,Munich,Germany,Europe
alsace,33.98279,-118.4123635,neighbourhood,Alsace,United States,North America
amalfi coast,26.3909491,-81.7838336,road,Lighthouse Bay at the Brooks,United States,North America
amaze amsterdam,40.7518926,-73.9738545,restaurant,New York,United States,North America
amed,37.9162222,40.2363542,city,Diyarbakır,Turkey,Asia
amsterdam,52.3730796,4.8924534,city,Amsterdam,Netherlands,Europe
andalusia,37.3399964,-4.5811614,state,,Spain,Europe
anfield,53.4309164,-2.9609314,stadium,Liverpool,United Kingdom,Europe
anne frank house,52.3751558,4.8840807,museum,Amsterdam,Netherlands,Europe
antalya,36.8865728,30.7030242,city,Antalya,Turkey,Asia
antalya province,36.9279654,30.7276865,state,,Turkey,Asia
antelope canyon,33.1217413,-107.5908391,stream,,United States,North America
ao nang,7.7211733,98.7655426,city,Ao Nang,Thailand,Asia
apulia,40.9842539,16.6210027,state,,Italy,Europe
aquaventure waterpark,18.3580389,109.7396551,hotel,Haitang District,China,Asia
arena mexico,19.4246317,-99.1519833,stadium,Mexico City,Mexico,North America
artis zoo,,,,,,
asia,51.2086975,89.2343748,continent,,,Asia
athens,37.9755648,23.7348324,city,Athens,Greece,Europe
athinios ferry port,14.5833,120.9667,neighbourhood,Port Area,Philippines,Asia
atlantic coast morocco,32.0,-6.0,country,,Morocco,Africa
atlas mountains,31.0596827,-7.9000092,mountain_range,Toubkal ⵜⵓⴱⵇⴰⵍ توبقال,Morocco,Africa
auckland region,-37.0114789,174.8505779,prison,Manurewa,New Zealand,Oceania
auschwitz i,50.0264016,19.2039639,prison_camp,Oświęcim,Poland,Europe
australia,-24.7761086,134.755,country,,Australia,Oceania
austria,47.59397,14.12456,country,,Austria,Europe
aveiro,40.640496,-8.6537841,city,Aveiro,Portugal,Europe
azores,37.8085564,-25.4731374,state,,Portugal,Europe
ba na hills,8.9930402,-79.5065491,building,San Francisco,Panama,South America
bacalar,18.9407916,-88.6164282,county,,Mexico,North America
baden wurttemberg,48.53775,9.041169,state,,Germany,Europe
bahia palace,31.6216327,-7.9819376,castle,Marrakesh,Morocco,Africa
balatonfured,46.9567254,17.888892,city,Balatonfüred,Hungary,Europe
bali,-8.2271303,115.1919203,state,,Indonesia,Asia
bali swing,-8.490486,115.2401167,attraction,Bongkasa,Indonesia,Asia
balos beach,35.580943,23.5912082,beach,Municipality of Kissamos,Greece,Europe
bandung,-6.9215529,107.6110212,city,Bandung City,Indonesia,Asia
bangkok,13.7524938,100.4935089,city,Bangkok,Thailand,Asia
baranya,45.9714436,18.1669246,county,,Hungary,Europe
barcelona,41.3828939,2.1774322,city,Barcelona,Spain,Europe
basilica cistern,41.0084029,28.9779226,cistern,Istanbul,Turkey,Europe
basilica of our lady of guadalupe,19.4848583,-99.1178571,place_of_worship,Mexico City,Mexico,North America
batoemadeg,-8.7465,115.5069,city,Batumadeg Kaja,Indonesia,Asia
bavaria,48.9467562,11.4038717,state,,Germany,Europe
bay of islands,-35.2550085,174.1626731,bay,,New Zealand,Oceania
belem tower,38.6915977,-9.2159218,attraction,Lisbon,Portugal,Europe
belfast,54.596391,-5.9301829,city,Belfast,United Kingdom,Europe
belvedere palace,41.905036,12.4563484,building,Vatican City,Vatican City,Europe
belvedere palace museum,39.91672,116.39078,point_of_interest,,China,Asia
ben youssef madrasa,31.6320046,-7.9864346,building,Marrakesh,Morocco,Africa
benagil sea cave,41.81682,12.94055,city,Cave,Italy,Europe
benidorm,38.5406255,-0.1290929,city,Benidorm,Spain,Europe
berlengas archipelago,,,,,,
berlin,52.510885,13.3989367,city,Berlin,Germany,Europe
big buddha phuket,7.827521,98.3124447,place_of_worship,Karon,Thailand,Asia
bintan island,1.0196577,104.5698189,island,Bintan Island,Indonesia,Asia
birmingham,52.4796992,-1.9026911,city,Birmingham,United Kingdom,Europe
black desert,41.0832259,-118.7969914,desert,,United States,North America
black forest,48.2634439,8.1647488,region,,Germany,Europe
blue mountains,-33.609741,150.4052237,mountain_range,,Australia,Oceania
bodrum,37.0343987,27.430651,city,Bodrum,Turkey,Asia
bohemia czechia,50.0601579,13.8307479,state,,Czechia,Europe
bohemia,40.7694091,-73.1148664,hamlet,Town of Islip,United States,North America
bohemian switzerland,53.8652995,27.5388542,building,Minsk,Belarus,Europe
bologna,44.4938203,11.3426327,city,Bologna,Italy,Europe
bordeaux,44.841225,-0.5800364,city,Bordeaux,France,Europe
borobudur,-7.6079583,110.2038245,attraction,Borobudur,Indonesia,Asia
borsod abauj zemplen,48.2397936,21.1353474,county,,Hungary,Europe
bosphorus strait,43.0609037,131.9254749,bay,Vladivostok,Russia,Asia
boston,42.3554334,-71.060511,city,Boston,United States,North America
bregenz,47.5025779,9.7472924,city,Bregenz,Austria,Europe
bregenzerwald,47.3870288,9.9560636,region,,Austria,Europe
bremen,53.0758196,8.8071646,city,Bremen,Germany,Europe
bremen state,50.724998,10.0034611,village,Geisa,Germany,Europe
brighton,50.8214626,-0.1400561,city,Brighton,United Kingdom,Europe
brittany,48.2640845,-2.9202408,county,,France,Europe
broadway new york city,40.7990843,-73.9684468,road,New York,United States,North America
buckingham palace,51.5008349,-0.1430045,castle,London,United Kingdom,Europe
buda castle,47.4959913,19.0398008,attraction,Budapest,Hungary,Europe
budapest,47.4813896,19.1460941,region,,Hungary,Europe
burgenland,47.5000001,16.4166666,state,,Austria,Europe
burj al arab,25.1413271,55.1853967,hotel,Umm Suqeim 3,United Arab Emirates,Asia
burj khalifa,25.1970336,55.2741329,attraction,Dubai,United Arab Emirates,Asia
